index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
2717,INTA,EQUITY,1479595520.0,60989100.0,NMS,4.357,"Intapp, Inc.","Intapp, Inc.",,
2718,INTC,EQUITY,195663380480.0,4067000064.0,NMS,22.151,Intel Corporation,Intel Corporation,9.327259,0.027703794
2719,INTE,EQUITY,113849992.0,11500000.0,NGM,-0.407,Integral Acquisition Corporation 1,Integral Acquisition Corporatio,,
2720,INTEU,EQUITY,,,NGM,-0.407,Integral Acquisition Corporation 1,Integral Acquisition Corporatio,,
2721,INTEW,EQUITY,,,NGM,-0.407,Integral Acquisition Corporation 1,Integral Acquisition Corporation 1 Warrants,,
2722,INTG,EQUITY,113698128.0,2199190.0,NCM,-24.677,The InterGroup Corporation,The Intergroup Corporation,31.144579,
2723,INTU,EQUITY,137033007104.0,283167008.0,NMS,35.623,Intuit Inc.,Intuit Inc.,63.834587,0.00509525
2724,INTZ,EQUITY,46230780.0,18793000.0,NCM,0.361,Intrusion Inc.,Intrusion Inc.,,
2725,INVA,EQUITY,1371776000.0,69492200.0,NMS,5.797,"Innoviva, Inc.","Innoviva, Inc.",6.4278736,0.0
2726,INVE,EQUITY,351977792.0,22206800.0,NCM,3.438,"Identiv, Inc.","Identiv, Inc.",195.67902,
2727,INVO,EQUITY,29102304.0,11734800.0,NCM,0.248,"INVO Bioscience, Inc.","INVO BioScience, Inc.",,
2728,INVZ,EQUITY,493330880.0,133694000.0,NCM,2.416,Innoviz Technologies Ltd.,Innoviz Technologies Ltd.,,
2729,INVZW,EQUITY,,,NCM,,Innoviz Technologies Ltd.,Innoviz Technologies Ltd.,,
2730,INZY,EQUITY,89215920.0,23664700.0,NMS,5.323,"Inozyme Pharma, Inc.","Inozyme Pharma, Inc.",,
2731,IOAC,EQUITY,321100000.0,24060000.0,NGM,0.001,Innovative International Acquisition Corp.,Innovative International Acquis,,
2732,IOACU,EQUITY,,,NGM,0.001,Innovative International Acquisition Corp.,Innovative International Acquis,,
2733,IOACW,EQUITY,,,NGM,0.001,Innovative International Acquisition Corp.,Innovative International Acquisition Corp. Warrants,,
2734,IOBT,EQUITY,163382752.0,28815300.0,NMS,-466.349,"IO Biotech, Inc.","IO Biotech, Inc.",,
2735,IONM,EQUITY,74063176.0,12818900.0,NCM,2.049,Assure Holdings Corp.,Assure Holdings Corp.,,
2736,IONS,EQUITY,5493069312.0,141210000.0,NMS,3.758,"Ionis Pharmaceuticals, Inc.","Ionis Pharmaceuticals, Inc.",,
2737,IOSP,EQUITY,2322524672.0,24647400.0,NMS,40.272,Innospec Inc.,Innospec Inc.,25.550434,0.011777418
2738,IOVA,EQUITY,2684542208.0,156899008.0,NGM,4.456,"Iovance Biotherapeutics, Inc.","Iovance Biotherapeutics, Inc.",,
