index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
142,DOV,EQUITY,23337086976.0,143984992.0,NYQ,27.029,Dover Corporation,Dover Corporation,24.977655,0.012624818
143,DOW,EQUITY,47240626176.0,739614016.0,NYQ,22.226,Dow Inc.,Dow Inc.,8.289682,0.043688565
144,DPZ,EQUITY,15038256128.0,36360300.0,NYQ,-112.88,"Domino's Pizza, Inc.",Domino's Pizza Inc,31.392029,0.009155645
145,DRE,EQUITY,22367320064.0,380849984.0,NYQ,15.629,Duke Realty Corporation,Duke Realty Corporation,24.109194,0.018630771
146,DRI,EQUITY,17488529408.0,129785000.0,NYQ,19.683,"Darden Restaurants, Inc.","Darden Restaurants, Inc.",19.26376,0.026057404
147,DTE,EQUITY,25246504960.0,193727008.0,NYQ,44.222,DTE Energy Company,DTE Energy Company,28.86379,0.03192738
148,DUK,EQUITY,84920074240.0,769342976.0,NYQ,61.567,Duke Energy Corporation,Duke Energy Corporation (Holdin,28.230177,0.0361031
149,DVA,EQUITY,11788811264.0,101900000.0,NYQ,11.145,DaVita Inc.,DaVita Inc.,13.510452,
150,DVN,EQUITY,40626769920.0,677000000.0,NYQ,13.182,Devon Energy Corporation,Devon Energy Corporation,29.796425,0.020149495
151,DXC,EQUITY,8573604352.0,252239008.0,NYQ,18.919,DXC Technology Company,DXC Technology Company,22.361843,0.0
152,DXCM,EQUITY,49547493376.0,96922000.0,NMS,22.044,"DexCom, Inc.","DexCom, Inc.",96.41833,
153,EA,EQUITY,36289925120.0,282808000.0,NMS,27.695,Electronic Arts Inc.,Electronic Arts Inc.,47.263355,0.0054153064
154,EBAY,EQUITY,37705908224.0,626003968.0,NMS,17.291,eBay Inc.,eBay Inc.,3.2948253,0.012231347
155,ECL,EQUITY,52442480640.0,286567008.0,NYQ,24.195,Ecolab Inc.,Ecolab Inc.,46.79174,0.010892999
156,ED,EQUITY,32941107200.0,353748992.0,NYQ,56.602,"Consolidated Edison, Inc.","Consolidated Edison, Inc.",27.58294,0.033967838
157,EFX,EQUITY,29591584768.0,122002000.0,NYQ,29.01,Equifax Inc.,"Equifax, Inc.",42.898834,0.006595358
158,EIX,EQUITY,26297231360.0,379908000.0,NYQ,35.816,Edison International,Edison International,34.48929,0.039575867
159,EL,EQUITY,102325731328.0,231704992.0,NYQ,16.861,The Estée Lauder Companies Inc.,"Estee Lauder Companies, Inc. (T",34.466537,0.007662281
160,EMN,EQUITY,15223985152.0,134440000.0,NYQ,45.522,Eastman Chemical Company,Eastman Chemical Company,30.39184,0.02494577
161,EMR,EQUITY,58685288448.0,595699008.0,NYQ,16.588,Emerson Electric Co.,Emerson Electric Company,25.789267,0.020660736
162,ENPH,EQUITY,27142944768.0,134912000.0,NGM,4.804,"Enphase Energy, Inc.","Enphase Energy, Inc.",174.6441,
163,EOG,EQUITY,70199099392.0,585089984.0,NYQ,37.206,"EOG Resources, Inc.","EOG Resources, Inc.",23.130905,0.013329477
164,EPAM,EQUITY,17694246912.0,56719600.0,NYQ,41.248,"EPAM Systems, Inc.","EPAM Systems, Inc.",43.261684,
165,EQIX,EQUITY,68236824576.0,90041200.0,NMS,117.377,"Equinix, Inc.","Equinix, Inc.",159.78073,0.015836881
166,EQR,EQUITY,34651480064.0,375016000.0,NYQ,28.334,Equity Residential,Equity Residential,32.731136,0.02755073
167,ES,EQUITY,29990199296.0,343806016.0,NYQ,41.922,Eversource Energy,Eversource Energy (D/B/A),25.342825,0.027803794
168,ESS,EQUITY,23194038272.0,65087800.0,NYQ,91.413,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",51.870453,0.024839323
169,ETN,EQUITY,62703448064.0,398600000.0,NYQ,40.068,Eaton Corporation plc,"Eaton Corporation, PLC",30.527695,0.01964752
170,ETR,EQUITY,23179139072.0,200980992.0,NYQ,55.99,Entergy Corporation,Entergy Corporation,18.664833,0.03370886
171,ETSY,EQUITY,18310979584.0,126781000.0,NMS,4.218,"Etsy, Inc.","Etsy, Inc.",42.89575,
172,EVRG,EQUITY,15562593280.0,229303008.0,NYQ,40.636,"Evergy, Inc.","Evergy, Inc.",17.570387,0.032661784
173,EW,EQUITY,72603803648.0,624334016.0,NYQ,8.877,Edwards Lifesciences Corporation,Edwards Lifesciences Corporatio,50.017204,
174,EXC,EQUITY,45638537216.0,978318016.0,NMS,34.601,Exelon Corporation,Exelon Corporation,27.280703,0.034405217
175,EXPD,EQUITY,17887367168.0,169404000.0,NMS,20.174,"Expeditors International of Washington, Inc.",Expeditors International of Was,15.624445,0.01059016
176,EXPE,EQUITY,29737369600.0,146004000.0,NMS,10.585,"Expedia Group, Inc.","Expedia Group, Inc.",,0.0
177,EXR,EQUITY,28039661568.0,133892000.0,NYQ,22.357,Extra Space Storage Inc.,Extra Space Storage Inc,38.896732,0.021297341
178,F,EQUITY,70973620224.0,3925390080.0,NYQ,9.157,Ford Motor Company,Ford Motor Company,24.908976,0.0
179,FANG,EQUITY,25108119552.0,181175008.0,NMS,63.515,"Diamondback Energy, Inc.","Diamondback Energy, Inc. - Comm",54.113586,0.012221524
180,FAST,EQUITY,33865598976.0,575163008.0,NMS,5.155,Fastenal Company,Fastenal Company,38.23377,0.019006103
181,FB,EQUITY,639757516800.0,2366279936.0,NMS,47.748,"Meta Platforms, Inc.","Meta Platforms, Inc.",16.457922,
182,FBHS,EQUITY,10929980416.0,135734000.0,NYQ,22.504,"Fortune Brands Home & Security, Inc.","Fortune Brands Home & Security,",14.862495,0.013149413
183,FCX,EQUITY,73124519936.0,1468470016.0,NYQ,9.096,Freeport-McMoRan Inc.,"Freeport-McMoRan, Inc.",18.85513,0.004373178
184,FDS,EQUITY,16546857984.0,37797200.0,NYQ,29.093,FactSet Research Systems Inc.,FactSet Research Systems Inc.,41.57455,0.007701662
185,FDX,EQUITY,62710210560.0,264968992.0,NYQ,94.124,FedEx Corporation,FedEx Corporation,13.017436,0.012882019
186,FE,EQUITY,25789603840.0,570188032.0,NYQ,13.738,FirstEnergy Corp.,FirstEnergy Corp.,22.480118,0.035527214
187,FFIV,EQUITY,13219427328.0,61229400.0,NMS,38.914,"F5, Inc.","F5, Inc.",40.43071,
188,FIS,EQUITY,62483030016.0,608937024.0,NYQ,77.348,"Fidelity National Information Services, Inc.",Fidelity National Information S,285.02777,0.015765999
189,FISV,EQUITY,68182155264.0,660232000.0,NMS,47.873,"Fiserv, Inc.","Fiserv, Inc.",53.50777,
190,FITB,EQUITY,31422576640.0,682505984.0,NMS,29.586,Fifth Third Bancorp,Fifth Third Bancorp,12.725263,0.02420938
191,FLT,EQUITY,20278538240.0,81198600.0,NYQ,39.102,"FLEETCOR Technologies, Inc.","FleetCor Technologies, Inc.",25.783606,
192,FMC,EQUITY,16523260928.0,126751000.0,NYQ,23.916,FMC Corporation,FMC Corporation,28.531408,0.014344415
193,FOX,EQUITY,22402109440.0,249240000.0,NMS,20.034,Fox Corporation,Fox Corporation,12.718053,0.012509981
194,FOXA,EQUITY,22536364032.0,320347008.0,NMS,20.034,Fox Corporation,Fox Corporation,13.8286,0.011488633
195,FRC,EQUITY,30284093440.0,179286000.0,NYQ,66.436,First Republic Bank,FIRST REPUBLIC BANK,23.256918,0.0051741772
196,FRT,EQUITY,9605448704.0,77789504.0,NYQ,29.588,Federal Realty Investment Trust,Federal Realty Investment Trust,40.941647,0.03612717
197,FTNT,EQUITY,56627408896.0,163500000.0,NMS,6.843,"Fortinet, Inc.","Fortinet, Inc.",104.25798,
198,FTV,EQUITY,22662129664.0,358577984.0,NYQ,25.984,Fortive Corporation,Fortive Corporation,13.787086,0.00456621
199,GD,EQUITY,66774786048.0,279223008.0,NYQ,56.401,General Dynamics Corporation,General Dynamics Corporation,20.523945,0.019377593
200,GE,EQUITY,103532642304.0,1098140032.0,NYQ,34.122,General Electric Company,General Electric Company,,0.0033999148
201,GILD,EQUITY,75563851776.0,1254380032.0,NMS,17.108,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",10.308009,0.04751437
202,GIS,EQUITY,40622972928.0,603206976.0,NYQ,15.79,"General Mills, Inc.","General Mills, Inc.",18.562569,0.03074141
203,GL,EQUITY,10401847296.0,100979000.0,NYQ,85.111,Globe Life Inc.,Globe Life Inc.,13.9485445,0.0077666035
204,GLW,EQUITY,32655656960.0,853408000.0,NYQ,14.51,Corning Incorporated,Corning Incorporated,38.112553,0.024511084
205,GM,EQUITY,67315490816.0,1451859968.0,NYQ,36.1,General Motors Company,General Motors Company,6.205166,0.0
206,GNRC,EQUITY,20275232768.0,63090000.0,NYQ,28.25,Generac Holdings Inc.,Generac Holdlings Inc.,39.034374,
207,GOOG,EQUITY,1905628545024.0,317737984.0,NMS,367.946,Alphabet Inc.,Alphabet Inc.,27.658785,
208,GOOGL,EQUITY,1899340496896.0,300809984.0,NMS,367.946,Alphabet Inc.,Alphabet Inc.,27.56428,
209,GPC,EQUITY,18487799808.0,142422000.0,NYQ,22.338,Genuine Parts Company,Genuine Parts Company,23.143162,0.02525568
210,GPN,EQUITY,40780726272.0,290151008.0,NYQ,90.135,Global Payments Inc.,Global Payments Inc.,44.37954,0.006596013
211,GRMN,EQUITY,23405586432.0,192322000.0,NYQ,30.442,Garmin Ltd.,Garmin Ltd.,20.77501,0.022941278
212,GS,EQUITY,113136312320.0,333577984.0,NYQ,275.256,"The Goldman Sachs Group, Inc.","Goldman Sachs Group, Inc. (The)",5.5939302,0.017101388
213,GWW,EQUITY,26716211200.0,51520000.0,NYQ,35.462,"W.W. Grainger, Inc.","W.W. Grainger, Inc.",29.640467,0.01256883
214,HAL,EQUITY,33710069760.0,895116032.0,NYQ,6.355,Halliburton Company,Halliburton Company,84.25056,0.00477707
215,HAS,EQUITY,12012425216.0,137947008.0,NMS,21.888,"Hasbro, Inc.","Hasbro, Inc.",26.564978,0.031812865
216,HBAN,EQUITY,22486734848.0,1446460032.0,NMS,11.899,Huntington Bancshares Incorporated,Huntington Bancshares Incorpora,17.096413,0.03963012
217,HCA,EQUITY,82178498560.0,311023008.0,NYQ,-2.217,"HCA Healthcare, Inc.","HCA Healthcare, Inc.",13.526852,0.00552571
218,HD,EQUITY,331734155264.0,1044240000.0,NYQ,0.989,"The Home Depot, Inc.","Home Depot, Inc. (The)",21.242393,0.020900628
